,address,effective_rent
0,"1 Curtiss Pkwy, Miami Springs, FL 33166",3568
1,"1 Laurel Oaks Dr, Winter Springs, FL 32708",1511
2,"1 S Pine Island Rd, Plantation, FL 33324",2325
3,"100 Acklins Cir, Daytona Beach, FL 32119",1672
4,"100 Alva Cir, Daytona Beach, FL 32117",1744
5,"100 Bel Aire Dr, Crestview, Fl 32536",1674
6,"100 Bent Tree Dr, Daytona Beach, FL 32114",1357
7,"100 Bonaventure Blvd, Weston, FL 33326",2658
8,"100 Carolina Lake Dr, Daytona Beach, FL 32114",1008
9,"100 Hamilton Cir, Ormond Beach, FL 32174",1623
10,"100 Integra Dunes Cir, DeLand, FL 32724",1876
11,"100 Integra Shores Dr, Daytona Beach, FL 32117",1694
12,"100 Kings Point Dr, Sunny Isles Beach, FL 33160",2363
13,"100 Lake Vista Dr, Ponte Vedra Beach, FL 32082",1641
14,"100 Larch Cir NE, Palm Bay, FL 32905",1548
15,"100 Lasa Dr, St. Augustine, FL 32084",1831
16,"100 Laurel Cir, Bartow, FL 33830",1850
17,"100 Magnolia St, Jacksonville, FL 32204",1749
18,"100 Maguire Park St, Ocoee, FL 34761",2257
19,"100 Main St N, St Petersburg, FL 33716",3106
20,"100 Myrtle St, Longwood, FL 32750",1782
21,"100 NW 33rd Ave, Pompano Beach, FL 33069",2428
22,"100 NW 6 St, Miami, FL 33136",3690
23,"100 NW 9th Terrace, Hallandale Beach, FL 33009",1185
24,"100 Newlake Dr, Boynton Beach, FL 33426",2436
25,"100 Old Village Way, Oldsmar, FL 34677",1505
26,"100 Portofino Dr, Palm Beach Gardens, FL 33418",3026
27,"100 Powell Blvd, Daytona Beach, FL 32114",1621
28,"100 Reflections Cir, Casselberry, FL 32707",1709
29,"100 Sands Parc Blvd, Daytona Beach, FL 32117",1766
30,"100 Seabreeze Blvd, Daytona Beach, FL 32118",1438
31,"100 Sedgefield Cir, Winter Park, FL 32792",1062
32,"100 Treviso Grand Cir, North Venice, FL 34275",2029
33,"100 W Grant St, Orlando, FL 32806",1970
34,"100 W Hidden Valley Blvd, Boca Raton, FL 33487",1832
35,"1000 Audace Ave, Boynton Beach, FL 33426",2569
36,"1000 Avery Village Loop, Orlando, FL 32825",2010
37,"1000 Cardinal Cove Cir, Sanford, FL 32771",1734
38,"1000 Carlton Arms Dr, Lakeland, FL 33811",1137
39,"1000 Indian Trace Cir, West Palm Beach, FL 33407",1259
40,"1000 Integra Woods Boulevard, Palm Coast, FL 32164",1841
41,"1000 Island Point Dr, Jacksonville, FL 32218",1350
42,"1000 Ketner St, Davenport, FL 33897",1931
43,"1000 Marlin Lakes Cir, Sarasota, FL 34232",2096
44,"1000 N Lockwood Ridge Rd, Sarasota, FL 34237",1476
45,"1000 Palm Pl Dr NE, Palm Bay, FL 32905",1670
46,"1000 Plantation Lakes Cir, Sanford, FL 32771",1762
47,"1000 Regal Pointe Terrace, Lake Mary, FL 32746",1811
48,"1000 S Nova Rd, Daytona Beach, FL 32114",1049
49,"1000 SW 46th Ave, Pompano Beach, FL 33069",2250
50,"1000 Stonebrook Dr, Sanford, FL 32773",1660
51,"1000 Victoria Park Blvd, Davenport, FL 33896",1875
52,"10000 Davis Crk Cir, Orlando, FL 32832",2174
53,"10000 NW 45th Terrace, Doral, FL 33178",2776
54,"10000 Palma Linda Way, Orlando, FL 32836",2182
55,"10000 Reflections Blvd W, Sunrise, FL 33351",2430
56,"10000 S Gardens Dr, Palm Beach Gardens, FL 33418",3336
57,"1001 Cascade Cir, Rockledge, FL 32955",1955
58,"1001 Center Rd, Venice, FL 34292",1773
59,"1001 Fairwinds Cir, Plant City, FL 33563",1667
60,"1001 NW 7th St, Miami, FL 33136",3070
61,"1001 Shoreview Dr, Orlando, FL 32807",1464
62,"1001 Water Tower Wy, Lantana, FL 33462",2190
63,"10010 Belle Rive Blvd, Jacksonville, FL 32256",1706
64,"10010 Skinner Lake Dr, Jacksonville, FL 32246",1614
