Address,LAT,LON
"4348 Plaza Dr, Holiday, FL, 34691",28.2001554,-82.7425796
"805 N Olive Ave, West Palm Beach, FL, 33401",26.7191396,-80.05200909999999
"301 SW 1st Ave, Fort Lauderdale, FL, 33301",26.1197462,-80.14478319999999
"11575 City Hall Promenade, Miramar, FL, 33025",25.986307,-80.2986111
"6874 Palmetto Cir S, Boca Raton, FL, 33433",26.3518061,-80.15304139999999
"5590 Baldwin Park St, Orlando, FL, 32807",28.5748383,-81.31153599999999
"3656 Verdi Cir, Palm Bay, FL, 32909",27.898974,-80.6135465
"100 Maguire Park St, Ocoee, FL, 34761",28.544131,-81.54113
"10101 Lymestone Ct, New Smyrna Beach, FL, 32168",29.0088872,-80.9681112
"15350 SW 136th St, Miami, FL, 33196",25.6393464,-80.44265899999999
"302 Blessinger Dr, Fort Walton Beach, FL, 32547",30.4413863,-86.65796
"1861 NW 46th Ave, Lauderhill, FL, 33313",26.1490675,-80.21076819999999
"1085 Atlantic Blvd, Atlantic Beach, FL, 32233",30.32627399999999,-81.41673759999999
"3605 Landing Way Dr, Tampa, FL, 33624",28.111216,-82.506254
"7381 Navarre Pkwy, Navarre, FL, 32566",30.4012263,-86.91408059999999
"8649 A C Skinner Pkwy, Jacksonville, FL, 32256",30.24727589999999,-81.5588856
"740 N Woodland Blvd, Deland, FL, 32720",29.0406617,-81.3045669
"604 Laurel Cove Ct, Orlando, FL, 32825",28.5519291,-81.2759717
"7940 Citrus Garden Dr, Tampa, FL, 33625",28.0822502,-82.57747669999999
"1500 SE Tiffany Club Pl, Port St. Lucie, FL, 34952",27.2912847,-80.2877053
"5601 Edenfield Rd, Jacksonville, FL, 32277",30.3825475,-81.6048337
"2930 SW 23rd Terrace, Gainesville, FL, 32608",29.6233644,-82.3606844
"150 NE 38th St, Oakland Park, FL, 33334",26.173691,-80.1454315
"660 Dumont St, Celebration, FL, 34747",28.3168085,-81.5557491
"385 Golf Brook Cir, Longwood, FL, 32779",28.6994789,-81.41072729999999
"5110 S Manhattan Ave, Tampa, FL, 33611",27.8890269,-82.5171885
"831 Oakley Seaver Dr, Clermont, FL, 34711",28.5527902,-81.724377
"420 E Church St, Orlando, FL, 32801",28.5402611,-81.37199849999999
"2425 2nd Ave N, Lake Worth, FL, 33461",26.6211329,-80.0799234
"1510 Big Oaks Dr, Lakeland, FL, 33810",28.0997338,-81.9787999
"101 E Camino Real, Boca Raton, FL, 33432",26.3413885,-80.0858456
"8008 Balasands Blvd, Orlando, FL, 32818",28.5495169,-81.4941423
"22182 Bella Lago Dr, Boca Raton, FL, 33433",26.3466179,-80.1608687
"604 SW 70th Terrace, Gainesville, FL, 32607",29.6468616,-82.4179905
"3940 NW 79th Ave, Doral, FL, 33166",25.810717,-80.3258565
"5400 26th St W, Bradenton, FL, 34207",27.4458156,-82.58970730000001
"1000 Marlin Lakes Cir, Sarasota, FL, 34232",27.3453109,-82.4487446
"2001 Rivertree Cir, Orlando, FL, 32839",28.4817389,-81.40694909999999
"4611 N Federal Hwy, Pompano Beach, FL, 33064",26.2883631,-80.0967033
"9932 Grande Lakes Blvd, Orlando, FL, 32837",28.4159177,-81.4200001
"1010 N Swallow Tail Dr, Port Orange, FL, 32129",29.1225291,-81.01576519999999
"6371 Collins Rd, Jacksonville, FL, 32244",30.2061834,-81.7467879
"9047 San Jose Blvd, Jacksonville, FL, 32257",30.214042,-81.6168015
"4450 Tropea Way, Jacksonville, FL, 32246",30.263405,-81.53050040000001
"16100 Myriad Ln, Fort Myers, FL, 33908",26.495914,-81.9330639
"3020 Reedy Creek Blvd, Kissimmee, FL, 34747",28.3360256,-81.5842334
"5116 Gate Pkwy N, Jacksonville, FL, 32256",30.2432072,-81.5343152
"333 N University Dr, Plantation, FL, 33324",26.124701,-80.2573914
"811 Crestview Dr, Cocoa, FL, 32922",28.3731933,-80.7406488
"250 Carillon Pkwy, St Petersburg, FL, 33716",27.890751,-82.66096069999999
"11701 Palm Lake Dr, Jacksonville, FL, 32218",30.4506622,-81.6313787
"5974 Windhover Dr, Orlando, FL, 32819",28.4843776,-81.463087
"14040 SW 258th St, Homestead, FL, 33032",25.5271089,-80.4154032
"7500 Powers Ave, Jacksonville, FL, 32217",30.2430597,-81.60921239999999
"12325 SW 151st St, Miami, FL, 33186",25.62796,-80.3926558
"1851 LPGA Blvd, Daytona Beach, FL, 32117",29.2294318,-81.07945959999999
"5953 Curry Ford Rd, Orlando, FL, 32822",28.522912,-81.3031482
"190 SE 5th Ave, Delray Beach, FL, 33483",26.4582544,-80.0682258
"1100 Audace Ave, Boynton Beach, FL, 33426",26.5374176,-80.0887954
"4755 N Goldenrod Rd, Winter Park, FL, 32792",28.6051106,-81.2865403
"9135 Talina Ln, Tampa, FL, 33637",28.0314737,-82.367226
"2677 Old Bainbridge Rd, Tallahassee, FL, 32303",30.48319489999999,-84.3175933
"6600 Woods Island Cir, Port St. Lucie, FL, 34952",27.3429511,-80.322007
"241 NE 38th St, Oakland Park, FL, 33334",26.1747406,-80.14342529999999
"8080 NW 10th Ct, Plantation, FL, 33322",26.13645,-80.25896469999999
"4051 E Olive Rd, Pensacola, FL, 32514",30.5091465,-87.1866477
"555 Dr. M.L.K. Jr St S, St Petersburg, FL, 33705",27.7647162,-82.6467727
"825 Cypress St, Tarpon Springs, FL, 34689",28.1502598,-82.7433114
"4142 My Lady Ln, Land O' Lakes, FL, 34638",28.217919,-82.4683371
"105 Manor Blvd, Naples, FL, 34104",26.1506382,-81.735284
"5821 San Juan Ave, Jacksonville, FL, 32210",30.2833363,-81.7447327
"990 Warehouse Rd, Orlando, FL, 32803",28.5591436,-81.3453987
"500 Jefferson Dr, Deerfield Beach, FL, 33442",26.3237738,-80.15080619999999
"8730 N Himes Ave, Tampa, FL, 33614",28.0328759,-82.5011834
"25 Knight Boxx Rd, Orange Park, FL, 32065",30.1214415,-81.7968345
"13301 Amber Lake Blvd, Orlando, FL, 32824",28.3667935,-81.3708754
"4920 State Rd 33 N, Lakeland, FL, 33805",28.1388582,-81.89939269999999
"500 Malabar Rd, Palm Bay, FL, 32907",27.997075,-80.6874785
"8960 SW 122nd Ave, Miami, FL, 33186",25.6848213,-80.3938893
"3730 W Bay Ave, Tampa, FL, 33611",27.8787903,-82.50617869999999
"6750 Congress Ave, Boca Raton, FL, 33487",26.4076178,-80.1013287
"12201 Lexington Park Dr, Tampa, FL, 33626",28.0590763,-82.6234841
"2260 Ringling Blvd, Sarasota, FL, 34237",27.334297,-82.524738
"325 E University Blvd, Melbourne, FL, 32901",28.0630277,-80.6143271
"9200 Randal Park Blvd, Orlando, FL, 32832",28.4324473,-81.23639390000001
"1211 E Kennedy Blvd, Tampa, FL, 33602",27.9500371,-82.4471786
"140 Glendale St, Lakeland, FL, 33803",28.0088671,-81.95535679999999
"1450 Pine Warbler Pl, Sarasota, FL, 34240",27.3652457,-82.4191972
"8120 Acacia Street, Naples, FL, 34113",26.1032272,-81.69006329999999
"14981 SW 283rd St, Homestead, FL, 33033",25.5041381,-80.4341855
"1040 Jamison Loop, Kissimmee, FL, 34744",28.2810544,-81.34127389999999
"825 McCullough Ave, Orlando, FL, 32803",28.5578882,-81.3375815
"3595 Misty Oak Dr, Melbourne, FL, 32901",28.0539711,-80.6233256
"9734 Tapestry Park Circle, Jacksonville, FL, 32246",30.2556263,-81.552701
"1700 Woodbury Road, Orlando, FL, 32828",28.5628854,-81.1954688
"11500 Summit W Blvd, Tampa, FL, 33617",28.0537087,-82.38862060000001
"3400 Davie Rd, Davie, FL, 33314",26.0794212,-80.22965
"2880 Avila Cross Cir, Oviedo, FL, 32765",28.6198102,-81.25138270000001
"2801 NW 23rd Blvd, Gainesville, FL, 32605",29.6784826,-82.3481771
"9702 Gableview Dr, Port Richey, FL, 34668",28.2961708,-82.71283690000001
"912 Innovation Wy, Altamonte Springs, FL, 32714",28.6419998,-81.4102053
"8150 SW 72nd Ave, Miami, FL, 33143",25.6947864,-80.309646
"8700 Maitland Summit Blvd, Orlando, FL, 32810",28.6372947,-81.399755
"7816 Southside Blvd, Jacksonville, FL, 32256",30.2299375,-81.55519699999999
"12585 Flagler Center Blvd, Jacksonville, FL, 32258",30.1407597,-81.51896800000002
"4600 NW 114th Ave, Doral, FL, 33178",25.815296,-80.38228409999999
"513 NE 21st Ct, Wilton Manors, FL, 33305",26.1551773,-80.1392384
"2600 W Grand Reserve Cir, Clearwater, FL, 33759",27.9658979,-82.724989
"4031 Vista Verde Dr, New Port Richey, FL, 34655",28.2185369,-82.6635344
"1650 N Mills Ave, Orlando, FL, 32803",28.5671448,-81.3658495
"10010 Skinner Lake Dr, Jacksonville, FL, 32246",30.2515609,-81.53999429999999
"1060 Coral Ridge Dr, Coral Springs, FL, 33071",26.2405912,-80.2802162
"6915 Main St, Miami Lakes, FL, 33014",25.9134179,-80.3132475
"1900 Post Rd, Melbourne, FL, 32935",28.1748542,-80.653176
"9931 W Flagler St, Miami, FL, 33174",25.7715085,-80.35794790000001
"2900 State Rd A1A, Jacksonville, FL, 32233",30.3669324,-81.4271235
"7950 Park Blvd, Pinellas Park, FL, 33781",27.8387154,-82.7477394
"4301 Confederate Point Rd, Jacksonville, FL, 32210",30.264109,-81.73188549999999
"1414 SW 17th Pl, Cape Coral, FL, 33991",26.6252831,-82.0115952
"100 Hamilton Cir, Ormond Beach, FL, 32174",29.2616339,-81.1132566
"1185 S Pinellas Ave, Tarpon Springs, FL, 34689",28.1333736,-82.7564975
"790 E Broward Blvd, Fort Lauderdale, FL, 33301",26.1222325,-80.13575589999999
"3050 Old River Rd, Jacksonville, FL, 32257",30.1712105,-81.63087259999999
"2652 N McMullen Booth Rd, Clearwater, FL, 33761",28.01853,-82.7107984
"14401 SW 268th St, Naranja, FL, 33032",25.5194518,-80.4240768
"11225 Estia Dr, Bradenton, FL, 34211",27.4695071,-82.427813
"7550 Stirling Rd, Davie, FL, 33024",26.0437923,-80.2397553
"3609 NE 207th St, Aventura, FL, 33180",25.9694,-80.12877019999999
"6522 54th Ave N, St Petersburg, FL, 33709",27.8194443,-82.72695890000001
"1850 NE 48th St, Pompano Beach, FL, 33064",26.2897443,-80.0978597
"2690 Enterprise Rd E, Clearwater, FL, 33759",28.0116284,-82.72561
"10495 SW 14th Terrace, Miami, FL, 33174",25.7560752,-80.3657127
"102 Ascend Cir, West Melbourne, FL, 32904",28.0399237,-80.67033789999999
"1900 Reserve Blvd, Gulf Breeze, FL, 32563",30.4052549,-86.9560333
"3541 30th Place, Lauderdale Lakes, FL, 33311",26.1641444,-80.1959849
"5928 Firestone Rd, Jacksonville, FL, 32244",30.2415132,-81.7648186
"5010 Central Sarasota Pkwy, Sarasota, FL, 34238",27.2233506,-82.4675951
"1009 Parkview Dr, Lynn Haven, FL, 32444",30.2327214,-85.64235839999999
"11001 Bristol Bay Dr, Bradenton, FL, 34209",27.4950495,-82.6736593
"160 Paramount Dr, Sarasota, FL, 34232",27.3366053,-82.45822419999999
"9480 Princeton Square Blvd S, Jacksonville, FL, 32256",30.2152273,-81.5625199
"2353 Mission Rd, Tallahassee, FL, 32304",30.4523017,-84.32704629999999
"101 Casa Mirella Way, Windermere, FL, 34786",28.527881,-81.5430727
"13765 NE 136th Loop Rd, Lady Lake, FL, 32159",28.9583034,-81.9565551
"3045 Glen Park Ln, Orange Park, FL, 32065",30.1305753,-81.7911865
"1900 55th Ave S, St Petersburg, FL, 33712",27.7181945,-82.65890379999999
"290 N Olive Ave, West Palm Beach, FL, 33401",26.7148379,-80.0517595
"3936 Pomodoro Cir, Cape Coral, FL, 33909",26.7227131,-81.91052959999999
"222 N Hiawassee Rd, Orlando, FL, 32835",28.5416754,-81.47755409999999
"150 S Bryan Rd, Dania Pointe, FL, 33004",26.0500856,-80.1557055
"101 Diplomat Pkwy, Hallandale Beach, FL, 33009",25.9874097,-80.1281159
"826 Milano Cir, Brandon, FL, 33511",27.9034309,-82.2956653
"2202 W Pensacola St, Tallahassee, FL, 32304",30.441062,-84.32377269999999
"2841 SW 13th St, Gainesville, FL, 32608",29.6242735,-82.336835
"2511 Sennett Dr, Leesburg, FL, 34748",28.8409031,-81.9019788
"7301 W University Ave, Gainesville, FL, 32607",29.6517304,-82.41934549999999
"1128 Ocala Rd, Tallahassee, FL, 32304",30.4539001,-84.31995669999999
"2321 Laguna Cir, North Miami, FL, 33181",25.9119887,-80.15227829999999
"1450 Sunshadow Dr, Casselberry, FL, 32707",28.694657,-81.32436229999999
"1236 Arbour Pt Wy, Ocoee, FL, 34761",28.6051217,-81.5438729
"2155 Great Blue Dr, Naples, FL, 34112",26.1325802,-81.7652146
"5550 Nepsa Way, Delray Beach, FL, 33484",26.4666889,-80.1320416
"1555 Village Center Dr, Lakeland, FL, 33803",28.0030351,-81.9807103
"5691 Elmhurst Cir, Oviedo, FL, 32765",28.6205482,-81.2460321
"545 Nantucket Ct, Altamonte Springs, FL, 32714",28.6711548,-81.4203436
"5971 Toscana Dr, Davie, FL, 33314",26.0818562,-80.2295608
"6320 SW 8th St, West Miami, FL, 33144",25.7629602,-80.2984152
"4117 SW 20th Ave, Gainesville, FL, 32607",29.6306282,-82.3855442
"700 SW 1st St., Miami, FL, 33130",25.7726363,-80.20678459999999
"1444 Home St, Jacksonville, FL, 32207",30.3152738,-81.6559515
"3810 5th St E, Bradenton, FL, 34208",27.4657534,-82.56068309999999
"7650 Lower Gateway Loop, Orlando, FL, 32827",28.3834085,-81.2735632
"6801 Integra Cove Blvd, Orlando, FL, 32821",28.4083091,-81.4729127
"100 Lake Vista Dr, Ponte Vedra Beach, FL, 32082",30.2507197,-81.3911475
"10170 SW 7th St, Pembroke Pines, FL, 33025",26.0028224,-80.2818376
"6300 SW 24th Pl, Davie, FL, 33314",26.0904549,-80.22518769999999
"9303 Cobalt Dr, Riverview, FL, 33578",27.8980808,-82.3506565
"1111 High Rd, Tallahassee, FL, 32304",30.4561898,-84.31320319999999
